steps,downsample,origin,rectangle,pixel
0,-2255.88952,-2888.770844,-3299.801421,-2529.250583
204.0816327,-2644.664262,-1977.65296,-2983.547926,-3003.945948
408.1632653,-1593.827046,-1940.554593,-2105.058326,-2769.966328
612.244898,-1913.473513,-2609.241571,-1119.909152,-1642.77372
816.3265306,-1553.143351,-2203.652919,1252.325928,-143.7806967
1020.408163,-1239.69636,-255.4213862,390.7718466,-1106.891202
1224.489796,89,-870.6586063,-498.655001,-1106.651784
1428.571429,252.5663921,190.2995654,-470.9281271,-972.6346873
1632.653061,-2500.382551,325.3832363,-200.0334395,124.5750071
1836.734694,-218.47054,1287.687728,668.8123524,-172.623496
2040.816327,-191.473513,-150.2328281,1624.771384,822.1848376
2244.897959,-553.143351,-16.22178946,2330.749722,1580.558034
2448.979592,147.755591,1200,2199.80347,1460.486013
2653.061224,259.861806,938.3806703,2700.320035,-1106.891202
2857.142857,889.410429,1374.499483,3000,1323.937697
3061.22449,989.09915,1871.433166,2976.132461,1452.525699
3265.306122,1593.898416,1791.688556,2379.711452,-1642.77372
3469.387755,2000,1473.892581,3000.113943,-972.6346873
3673.469388,976.470855,2176.697029,2963.139337,124.5750071
3877.55102,1700,2386.77854,2467.512536,-172.623496
4081.632653,1984.587371,2286.070113,2997.010957,822.1848376
4285.714286,1999.730712,1698,2757.710092,2680.754207
4489.795918,2590.515084,2678.170766,2619.18605,2746.04821
4693.877551,3000,2709.338217,2698.36223,2602.098294
4897.959184,2279.49114,2777.742925,2712.638111,2762.62083
5102.040816,2880.111282,2790.487722,2680.030485,2714.802423
5306.122449,2874.28222,2489.451691,2731.264023,2724.974645
5510.204082,2827.993174,2650.590944,2818.792855,2758.91594
5714.285714,2596.583838,2828.098124,2740.186575,2504.283273
5918.367347,2651.651266,2544.082777,2744.293678,2421.070856
6122.44898,2770.342738,2305.223083,2529.873917,2686.122227
6326.530612,2109.13424,2808.919956,2315.575908,2551.613311
6530.612245,2789.817064,2317.447328,3000,2576.821016
6734.693878,2673.062244,2778.88473,3000,2211.903536
6938.77551,2770.962765,2495.989039,2316.594836,1962.981049
7142.857143,2984.158033,2835.493225,2217.176738,1947.185414
7346.938776,2989.000867,3000.310776,2529.054087,2060.259559
7551.020408,2484.910405,2512.337724,-518.647583,2493.883553
7755.102041,2990.243098,2801.427047,2588.775897,2598.780997
7959.183673,1991.49298,2848.782904,2664.619177,2763.46549
8163.265306,2988.068941,3000,3000,1637.047648
8367.346939,2288.587673,2791.865941,3000,1529.656073
8571.428571,3000,2838.798815,3000,1271.489599
8775.510204,3000,2990.604704,2834.288367,2687.837337
8979.591837,2988.653315,2871.110564,2881.969018,2922.967947
9183.673469,2972.95295,3000,2676.108782,3000
9387.755102,3000,3000,2921.303262,3000
9591.836735,2988.879802,3000,3000,2981.54681
9795.918367,2990.086531,3000,2817.536706,2833.983621
10000,3000,2983.503254,2965.136401,3000
